PSNO_NA_ECP,PSNO_PA_ECP,PA_NO,PS_NAME,PS_REGISTERED_VOTERS,WINNER_ECP,OPP_VOTES_ECP,PTI_VOTES_ECP,TURNOUT_NA_ECP,TURNOUT_NA_PERCENTAGE_ECP,TURNOUT_PA_ECP,TURNOUT_PA_PERCENTAGE_ECP,TURNOUT_DIFFERENCE
209,65,93,Govt. Boys Model Primary School Sector 48/E Korangl (Male),2439,Muhammad Javaid Hanif (MQM),2263,37,2439,100.00000,1250,51.25051,1189
243,12,94,GGSS No. 4 Korangi 3-1/2 (Female)-I,1811,Muhammad Haris (PTI),16,226,394,21.75594,394,21.75594,0
166,22,93,GBSS KTS 1  Korangi 5 1/2    (FeMale)-II,1468,Muhammad Haris (PTI),22,129,256,17.43869,256,17.43869,0
273,120,94,APWA Govemment Girls Secondary School Korangi N0.5 (Female)-I,1335,Muhammad Javaid Hanif (MQM),1141,4,1334,99.92509,312,23.37079,1022
170,26,93,GBSS D Area Korangi No. 5 1/2 (Male}-I,2052,Muhammad Javaid Hanif (MQM),1808,56,2036,99.22027,634,30.89669,1402
228,107,93,GGPS No. 9 Korangi 6 (Taulka education Office Female)(Male)-I,1166,Muhammad Javaid Hanif (MQM),905,61,1156,99.14237,550,47.16981,606
185,41,93,GGSS (G10) Korangii 100- Quarters (Combined)-III,2129,Muhammad Javaid Hanif (MQM),1849,72,2109,99.06059,702,32.97323,1407
219,98,93,GBPS (KTS-7) Korangi 4 (Female),1501,Muhammad Javaid Hanif (MQM),1330,22,1486,99.00067,286,19.05396,1200
230,109,93,Govt. Boys Degree Collage Korangi No. 06 (Combined)-I,2194,Muhammad Javaid Hanif (MQM),1968,21,2172,98.99727,556,25.34184,1616
113,113,92,Noor Public School K Area Double Room (Combined)-!,2563,Muhammad Javaid Hanif (MQM),2075,81,2534,98.86851,931,36.32462,1603
206,62,93,Cardinal Caderio Catholic School (Comblned)-I,2452,Muhammad Javaid Hanif (MQM),2246,6,2417,98.57259,1125,45.88091,1292
282,83,96,ISLAMIC ENGLISH Acadey Awami (Combined)-I,1795,Muhammad Javaid Hanif (MQM),1319,31,1769,98.55153,656,36.54596,1113
2,2,92,Baldia Government Boys secondary School C/1 Landhi No 3 (Combined)-I,1784,Muhammad Javaid Hanif (MQM),1492,38,1753,98.26233,445,24.94395,1308
237,6,94,Govt. Technical Collage For Women Zaman Town (Combined)-I,2598,Muhammad Javaid Hanif (MQM),2182,14,2549,98.11393,949,36.52810,1600
96,96,92,Government Boys Primary School No 11 landhi 36/D(FeMale)-1,1881,Muhammad Javaid Hanif (MQM),1648,20,1842,97.92663,540,28.70813,1302
186,42,93,GGSS (G10) Korangii 100- Quarters (Combined)-IV,1906,Muhammad Javaid Hanif (MQM),1550,46,1866,97.90136,573,30.06296,1293
